Material,Weight (g),Size 1 (cm),Size 2 (cm),Size 3 (cm),Texture,Scent,Color,Notes
Aluminum foil,2.00,20.0,19.0,,,,,
Apple,58.40,7.0,6.0,,,fresh,,
Biodegradable plastic bag,1.50,30.0,18.0,,,,,
Card stock,,,,,,,,
Cucumber,54.70,5.6,2.5,,,fresh,light green throughout,
Fabric,2.20,4.0,3.5,3.5,,,,
Newspaper,6.70,58.0,25.0,,,,,
Normal plastic bag,1.40,25.0,14.0,,,,,
Plastic bowl,5.90,9.0,9.0,6.0,,,translucent,
Wooden popsicle stick,2.10,13.5,1.5,,,,,
